parent_id,child_id,link_type,evidence
form:menu_bfoeli,prg:browseview,CALLS_PRG,menu_bfoeli.scx
form:menu_bfopes,form:artnew,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:bfopes_qta,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:bfoposelrlec,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:bfoposelrleg,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:cconew,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:dati_bob,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:dati_colla,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:dati_fiscale,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:dati_mandrini,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:desnew,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:elenco,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:email,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:orfddtselr,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:orfposel,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:orfposelr,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:orfposelrm,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:resddtselr,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:tagcol00,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,form:valo000,OPENS_FORM,menu_bfopes.scx
form:menu_bfopes,prg:bfostam,CALLS_PRG,menu_bfopes.scx
form:menu_bfopes,prg:browseview,CALLS_PRG,menu_bfopes.scx
form:menu_bfopes,prg:menusta,CALLS_PRG,menu_bfopes.scx
form:menu_bfopes,prg:menusta1,CALLS_PRG,menu_bfopes.scx
form:menu_bfopes,prg:nullo,CALLS_PRG,menu_bfopes.scx
form:menu_bil000,form:attendi,OPENS_FORM,menu_bil000.scx
form:menu_bil000,form:pjpwd,OPENS_FORM,menu_bil000.scx
form:menu_bil000,prg:menusta,CALLS_PRG,menu_bil000.scx
form:menu_bilcoan,prg:menusta,CALLS_PRG,menu_bilcoan.scx
form:menu_bilnosol,prg:menusta,CALLS_PRG,menu_bilnosol.scx
form:menu_blackbox,form:pjpwd,OPENS_FORM,menu_blackbox.scx
form:menu_blackbox,prg:menusta,CALLS_PRG,menu_blackbox.scx
form:menu_bofannu,form:elenco,OPENS_FORM,menu_bofannu.scx
form:menu_bofannu,prg:browseview,CALLS_PRG,menu_bofannu.scx
form:menu_bofconse,prg:menusta,CALLS_PRG,menu_bofconse.scx
form:menu_bol000,form:attachments,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:bol000_qtamodi,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:bolconvserial,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:bolselserial,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_artprod,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_bob,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_bobped,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_bombole,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_colla,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_dadi_pressati,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_legno,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_lis_tt,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:dati_retail,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:desnew,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:elenco,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:elenco_vuoti,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:email,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:esposizione,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:formconf,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:insert_articoli_doc,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:menu_art000,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:menu_carica_barcode,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:menu_scad000,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:orfcoselr,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:pjpwd,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:prezzi_alternativi,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:prezzi_vendita_banco,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:sottoriga_art,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:stampaped,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:tagcol00,OPENS_FORM,menu_bol000.scx
form:menu_bol000,form:valo000,OPENS_FORM,menu_bol000.scx
form:menu_bol000,prg:bolstam,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:browseview,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:browseview_bckc,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:ecommerce_esporta_disponibilita_prodotti_card,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:ecommerce_importa_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:menu_bol000,prg:ecommerce_importa_ordini_clienti_card::TOKENIZER,CALLS_PROC,chiamata tokenizer()
form:menu_bol000,prg:menusta,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:menusta1,CALLS_PRG,menu_bol000.scx
form:menu_bol000,prg:nullo,CALLS_PRG,menu_bol000.scx
