object_id,file,object_type,name,description,new_location
form:menu_artannu,form/menu_artannu.scx,FORM,menu_artannu,Annullo anagrafica articoli con selezione,
form:menu_artdatin,form/menu_artdatin.scx,FORM,menu_artdatin,Stampa ultimi articoli inseriti / variati,
form:menu_artduli,form/menu_artduli.scx,FORM,menu_artduli,Duplica  listini del cliente con possibilità di variazione prezzi,
form:menu_artdup,form/menu_artdup.scx,FORM,menu_artdup,Duplica anagrafica articoli,
form:menu_arteti,form/menu_arteti.scx,FORM,menu_arteti,Stampa etichette per articolo,
form:menu_artliduli,form/menu_artliduli.scx,FORM,menu_artliduli,Duplica  listini del cliente con possibilità di variazione prezzi,
form:menu_artprza,form/menu_artprza.scx,FORM,menu_artprza,Elenco articoli con i principali 5 possibili fornitori,
form:menu_artprzf,form/menu_artprzf.scx,FORM,menu_artprzf,Elenco articoli per fornitore,
form:menu_artuld,form/menu_artuld.scx,FORM,menu_artuld,Utility su angrafica articoli - aggiornamento dati ultimo carico/scarico,
form:menu_artze,form/menu_artze.scx,FORM,menu_artze,Elenco articoli con giacenza zero,
form:menu_asc000,form/menu_asc000.scx,FORM,menu_asc000,Gestione effetti attivi,
form:menu_ass000,form/menu_ass000.scx,FORM,menu_ass000,Gestione effetti passivi,
form:menu_assban,form/menu_assban.scx,FORM,menu_assban,Assegnazione banca di presentazione,
form:menu_ast000,form/menu_ast000.scx,FORM,menu_ast000,Scheda archiviazione documenti,
form:menu_astannu,form/menu_astannu.scx,FORM,menu_astannu,Annullo schede tecniche,
form:menu_astdos,form/menu_astdos.scx,FORM,menu_astdos,Crea file in formato Dos,
form:menu_astloca,form/menu_astloca.scx,FORM,menu_astloca,Carico/scarico su magazzino a locazioni,
form:menu_astsfol,form/menu_astsfol.scx,FORM,menu_astsfol,Sfoltimento schede tecniche,
form:menu_astsitu,form/menu_astsitu.scx,FORM,menu_astsitu,Filtri di ricerca schede tecniche,
